Timepoint	Channel	Biorep	CMO
d0	channel1	rep1	CMO01
d0	channel1	rep2	CMO02
d0	channel2	rep3	CMO01
d0.5	channel1	rep1	CMO03
d0.5	channel2	rep2	CMO02
d0.5	channel2	rep3	CMO03
d1	channel1	rep1	CMO04
d1	channel1	rep2	CMO05
d1	channel2	rep3	CMO04
d1.5	channel1	rep1	CMO06
d1.5	channel2	rep2	CMO05
d1.5	channel2	rep3	CMO06
d2	channel1	rep1	CMO07
d2	channel1	rep2	CMO08
d2	channel2	rep3	CMO07
d2.5_arterial	channel1	rep1	CMO09
d2.5_arterial	channel2	rep2	CMO08
d2.5_arterial	channel2	rep3	CMO09
d2.5_venous	channel1	rep1	CMO10
d2.5_venous	channel1	rep2	CMO11
d2.5_venous	channel2	rep3	CMO10
d3_arterial	channel1	rep1	CMO12
d3_arterial	channel2	rep2	CMO11
d3_arterial	channel2	rep3	CMO12
d3_venous	channel1	rep1	CMO13
d3_venous	channel1	rep2	CMO14
d3_venous	channel2	rep3	CMO13
d3.5_arterial	channel1	rep1	CMO15
d3.5_arterial	channel2	rep2	CMO14
d3.5_arterial	channel2	rep3	CMO15
d3.5_venous	channel1	rep1	CMO16
d3.5_venous	channel1	rep2	CMO17
d3.5_venous	channel2	rep3	CMO16
d4_arterial	channel1	rep1	CMO18
d4_arterial	channel2	rep2	CMO17
d4_arterial	channel2	rep3	CMO18
d4_venous	channel1	rep1	CMO19
d4_venous	channel1	rep2	CMO20
d4_venous	channel2	rep3	CMO19
d4.5_venous	channel1	rep1	CMO21
d4.5_venous	channel2	rep2	CMO20
d4.5_venous	channel2	rep3	CMO21
d5_venous	channel1	rep1	CMO22
d5_venous	channel1	rep2	CMO23
d5_venous	channel2	rep3	CMO22
